24/04/2018	TUI	DIR	CMEDN	162	1	67
24/04/2018	TUI	DIR	CMEDN	171	1	67
24/04/2018	TUI	DIR	CMEDN	161	0	0
24/04/2018	TUI	DIR	CMGIO	231	1	47
24/04/2018	TUI	DIR	CMGIO	228	1	35
24/04/2018	TUI	DIR	CMGIP	163	1	56
24/04/2018	TUI	DIR	CMGIP	189	1	45
24/04/2018	TUI	DIR	CMGIP	167	0	0
24/04/2018	TUI	DIR	CMGIP	412	1	0
24/04/2018	TUI	DIR	CMHKT	166	1	60
24/04/2018	TUI	DIR	CMHKT	168	0	0
24/04/2018	TUI	DIR	CMHKT	283	1	43
24/04/2018	TUI	DIR	CMLEO	196	0	0
24/04/2018	TUI	DIR	CMLEO	173	0	0
24/04/2018	TUI	DIR	CMLEO	200	0	0
24/04/2018	TUI	DIR	CMLEO	208	0	0
24/04/2018	TUI	DIR	CMLGC	199	5	275
24/04/2018	TUI	HOU	NA	160	0	0
24/04/2018	TUI	OTA	CMEDN	160	0	0
24/04/2018	TUI	OTA	CMGIO	168	0	0
24/04/2018	TUI	OTA	CMGIO	167	1	66
24/04/2018	TUI	OTA	CMGIO	199	0	0
24/04/2018	TUI	OTA	CMGIO	248	0	0
24/04/2018	TUI	OTA	CMGIO	266	0	0
24/04/2018	TUI	OTA	CMGIO	160	0	0
24/04/2018	TUI	OTA	CMGIO	241	1	32
24/04/2018	TUI	OTA	CMLEO	166	1	71
24/04/2018	TUI	OTA	CMLEO	168	0	0
24/04/2018	TUI	OTA	CMLEO	194	1	66
24/04/2018	TUI	OTA	CMLEO	160	0	0
24/04/2018	TUI	OTA	CMLGC	175	0	0
24/04/2018	TUI	OTA	CMLGC	210	0	0
24/04/2018	TUI	AGN	CMGCH	171	1	35
24/04/2018	TUI	AGN	CMGCH	238	1	33
25/04/2018	TUI	DIR	CMEDN	203	1	66
25/04/2018	TUI	DIR	CMEDN	243	0	0
25/04/2018	TUI	DIR	CMEDN	162	1	67
25/04/2018	TUI	DIR	CMEDN	171	1	67
25/04/2018	TUI	DIR	CMEDN	161	1	67
25/04/2018	TUI	DIR	CMEDN	160	0	0
25/04/2018	TUI	DIR	CMEDN	333	1	60
25/04/2018	TUI	DIR	CMEDN	394	0	0
25/04/2018	TUI	DIR	CMEVG	164	0	0
25/04/2018	TUI	DIR	CMGIO	165	0	0
25/04/2018	TUI	DIR	CMGIO	231	0	0
25/04/2018	TUI	DIR	CMGIO	228	0	0
25/04/2018	TUI	DIR	CMGIO	427	1	36
25/04/2018	TUI	DIR	CMGIP	163	0	0
25/04/2018	TUI	DIR	CMGIP	189	1	45
25/04/2018	TUI	DIR	CMGIP	167	0	0
25/04/2018	TUI	DIR	CMGIP	412	1	0
25/04/2018	TUI	DIR	CMHKT	166	1	60
25/04/2018	TUI	DIR	CMHKT	172	0	0
25/04/2018	TUI	DIR	CMHKT	283	1	43
25/04/2018	TUI	DIR	CMHKT	159	0	0
25/04/2018	TUI	DIR	CMLEO	165	0	0
25/04/2018	TUI	DIR	CMLEO	196	0	0
25/04/2018	TUI	DIR	CMLEO	173	0	0
25/04/2018	TUI	DIR	CMLEO	200	0	0
